variable,question,file
C2EBEG_27,When did this episode BEGIN? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EBEG_4,When did this episode BEGIN? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EEND_27,When did this episode END? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EEND_4,When did this episode END? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EDC,What were you doing? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EDC_99_TEXT,What were you doing? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EDO,"Please DESCRIBE the general EXPERIENCE in terms of the MAIN thing you were doing during the EVENING episode.



Example: I calling my friend, B, to catch up while I folded laundry.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EDM,"[optional] What OTHER THINGS were you doing or THINKING ABOUT?



Example: I was folding laundry.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETC,What technologies did you use? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETC_99_TEXT,What technologies did you use? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ECO,"[Optional] -- How did the COMBINATION of multiple TECHNOLOGIES / apps contribute towards IMPROVING your EMOTIONAL STATE?



Example: Calling my friend made me feel like I was connected to someone I care about. I also liked having a Happy Light on at the same time to help regulate my circadian rhythm and boost my mood.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELE1,"To what degree did you approach this activity with the following intention, whether or not you actually achieved your aim?



Seeking to pursue excellence or a personal ideal?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELE2,Seeking to use the best in yourself?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELE3,"Seeking to develop a skill, learn, or gain insight into something?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELE4,Seeking to do what you believe in?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELH1,Seeking enjoyment?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELH2,Seeking pleasure?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELH3,Seeking fun?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELH4,Seeking relaxation?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ELH5,Seeking to take it easy?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER1,"1/25
 

Bettering yourself
Committing to meaningful challenges or passions that accord with your deeply-held values. Rather than indulging yourself constantly, or serving others’ needs only","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER2,"2/25
Indulging
Allowing yourself to enjoy what you desire to do. Rather than resisting the urge to do so","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER3,"3/25
Being considerate and helping others
Sharing your resources and attention for the benefit of another person or group’s needs or preferences. Rather than acting solely for personal gain","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER4,"4/25
Engaging in a collective
Joining in, or contributing to the shared concerns of a group. Rather than feeling apart from a sense of communal purpose","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER5,"5/25
Practicing spirituality and religion
Engaging in structured or ritualistic thoughts and behaviors that anchor your view of life within a larger cosmology. Rather than having no practiced tradition through which to process your experiences","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER6,"6/25
Creating a savoring atmosphere
Creating or rearranging the environment to physically, psychologically, and socially support the intended positive experience. Rather than sticking to the status quo","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER7,"7/25
Capturing
Actively collecting physical or mental mementos (e.g., photos and souvenirs) that will later prompt vivid recall, thereby making the future experience more positive. Rather than experiencing the positive experience in only one temporal orientation","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER8,"8/25
Delaying positive experiences or splitting them into smaller units
Temporarily withdrawing from a positive experience, or subdividing a pleasant experience into smaller units to prolong anticipation and enjoyment. Rather than sacrificing prolonged pleasure for instant gratification","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER9,"9/25

 
Blocking negative thoughts



Preventing the retrieval of negative thoughts and memories that may hinder positive experiences, or reconfiguring them to create a more positive view. Rather than letting them lurk unaddressed around your daily life","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER10,"10/25

 
Habitualizing positive practices



Enhancing your life by practicing positive actions regularly as part of your lifestyle. Rather than occasionally performing them","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER11,"11/25

 
Being immersed and absorbed



Becoming fully engaged in a positive experience or its aspects, existing only in the present. Rather than allowing other concerns to hinder your enjoyment","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER12,"12/25

 
Anticipating



Vividly anticipating likely positive experiences that will occur in the future. Rather than focusing only on the past or present","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER13,"13/25

 
Reminiscing



Recalling and reliving past positive experiences for emotional or sentimental reasons. Rather than focusing only on the present or future","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER14,"14/25

 
Moral elevating



Being moved by witnessing someone perform an act of virtue such as being brave, honest, kind, or perseverant; feeling inspired to act this way yourself. Rather than considering virtuous behaviors as mundane","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER15,"15/25

 
Fantasizing 
Imagining positive experiences of varying likelihood. Rather than restricting your imagination to likely possibilities","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER16,"16/25

 
Being aware of temporal scarcity 
Realizing that your current experience or resources will not last forever, and that you should enjoy them while they are available. Rather than rushing through them as though they were available anytime","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER17,"17/25

 
Infusing the ordinary with special meaning 
Enriching day-to-day experiences with language, thoughts, and actions that promote positive associations. Rather than seeing experiences only in a functional way","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER18,"18/25

 
Self-congratulating 
Giving yourself credit for the causes of positive experiences; seeing your experiences with a positive view of your strengths, achievements, and self-worth. Rather than overlooking opportunities to honor yourself","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER19,"19/25

 
Expressing or acknowledging gratitude 
Considering how others have benefited from your actions, or how you have benefited from others’ actions. Rather than letting contributions pass by without noticing their positive impact","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER20,"20/25

 
Relative comparing 
Embracing your own experiences in comparison with what others seem to be experiencing, or with what you imagined an event would be like. Rather than absorbing your joys and letdowns without a reference point","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER21,"21/25

 
Sharing the positive experience with others

Creating a ripple effect between you and others in response to positive experiences; telling others how much you value the moment, or recounting stories about past joys, or good fortune. Rather than experiencing life’s joys in solitude","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER22,"22/25

 
Purposeful dampening

Intentionally down-regulating your positive emotions to help maintain perceived control. Rather than letting emotions arise regardless of the circumstance","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER23,"23/25

 
Enriching the sensory environment

Encountering or cultivating pleasant sensory stimulation. Rather than continually experiencing the same level of stimulation","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER24,"24/25

 
Altering bodily engagement

Reviving or relaxing your body with dynamic movement or rest. Rather than giving energy only to your thoughts","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPER25,"25/25

 
Neurochemically heightening emotions

Using food, drink, behaviors, or mind-altering substances to enhance your emotional state. Rather than relying solely on your intention to feel better","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.S1,"When I do this activity with these technologies, it makes me feel close to people who are important to me","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.S2,"When I do this activity with these technologies, it makes me feel connected to other people","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.S3,"When I do this activity with these technologies, it makes me feel that people care about me","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.F1,"When I do this activity with these technologies, it makes me feel excluded or isolated","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.F2,"When I do this activity with these technologies, it makes me feel lonely","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ETENS.F3,"When I do this activity with these technologies, it makes me feel like I don’t matter to other people","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS01,Enthusiastic,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS02,Interested,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS03,Determined,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS04,Excited,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS05,Inspired,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS06,Alert,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS07,Active,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS08,Strong,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS09,Proud,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EPAS10,Attentive,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ECSAT,"Overall, HOW SATISFIED were you with the technologies’ ability to SUPPORT YOUR HAPPINESS through this episode?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ESOC1,"Were you interacting with any human beings (i.e., in person, online) during this episode?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ESOC2,"Was the social interaction in real-time (e.g., video chat), or was it asynchronous (e.g., social media comments)?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ1,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ1_99_TEXT,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ2,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Selected Choice","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_1_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Time it takes for the activity (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_2_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Energy it takes for the activity (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_3_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Money it takes for the activity (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_4_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Interest level I have in the activity (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_5_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Personal values I have towards the activity (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFREQ3_99_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Other (please explain) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EINDO,Were you indoors or outdoors during the activity?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ENEC,"HOW NECESSARY were the TECHNOLOGIES to engage in the main part THIS ACTIVITY (i.e., you would NOT have done the activity without them)?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EBODY,I MOVED MY BODY A LOT during this ACTIVITY.,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ECONV,"Overall, HOW CONVENIENT was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EEFF,"Overall, HOW EASY was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EFEEL,"[optional] In what ways did the technologies ENHANCE how you felt?



Example: “The music calmed me down”, or, “the video call felt almost like being in the same room”.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2EELSE,[optional] Is there ANYTHING ELSE you want to say about your experience?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
StartDate,Start Date,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
EndDate,End Date,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
Status,Response Type,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
Progress,Progress,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
Duration..in.seconds.,Duration (in seconds),"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
Finished,Finished,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
RecordedDate,Recorded Date,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
ResponseId,Response ID,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
DistributionChannel,Distribution Channel,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
UserLanguage,User Language,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
Q_RecaptchaScore,Q_RecaptchaScore,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
A4SONA,"ID#



Before we move on ––

What's your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL1,"Send, receive, and read e-mails (not including spam or junk mail). - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL1_99_TEXT,"Send, receive, and read e-mails (not including spam or junk mail). - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL2,Check your personal email. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL2_99_TEXT,Check your personal email. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL3,Check your work or school e-mail. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL3_99_TEXT,Check your work or school e-mail. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL4,Send or receive files via e-mail. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.MAIL4_99_TEXT,Send or receive files via e-mail. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
A4ATT,"On a scale of 1-7, please select the number ‘3’ below (to confirm your attention to this question).","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TEXT1,Send and receive text messages on a mobile phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TEXT1_99_TEXT,Send and receive text messages on a mobile phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TEXT2,Check for text messages on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TEXT2_99_TEXT,Check for text messages on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.CALL1,Make and receive voice/video calls. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.CALL1_99_TEXT,Make and receive voice/video calls. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.CALL2,Check for missed voice/video calls on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.CALL2_99_TEXT,Check for missed voice/video calls on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE1,Read e-mail on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE1_99_TEXT,Read e-mail on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE2,Get directions or use GPS on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE2_99_TEXT,Get directions or use GPS on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE3,Browse the web on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE3_99_TEXT,Browse the web on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE4,Listen to music on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE4_99_TEXT,Listen to music on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE5,Take pictures using a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE5_99_TEXT,Take pictures using a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE6,Check the news on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE6_99_TEXT,Check the news on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE7,Record video on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE7_99_TEXT,Record video on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE8,Use apps (for any purpose) on a phone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE8_99_TEXT,Use apps (for any purpose) on a phone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE9,Use your phone during class or work time. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.PHONE9_99_TEXT,Use your phone during class or work time. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TV1,"Watch TV shows, movies, etc. on a TV set. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TV1_99_TEXT,"Watch TV shows, movies, etc. on a TV set. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TV2,Watch video clips on a TV set. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.TV2_99_TEXT,Watch video clips on a TV set. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE1,Watch video clips on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE1_99_TEXT,Watch video clips on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE2,"Watch TV shows, movies, etc. on any device. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE2_99_TEXT,"Watch TV shows, movies, etc. on any device. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE3,Download media files from other people on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE3_99_TEXT,Download media files from other people on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE4,Share your own media files on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE4_99_TEXT,Share your own media files on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE5,Search the internet for news on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE5_99_TEXT,Search the internet for news on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE6,Search the internet for information on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE6_99_TEXT,Search the internet for information on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE7,Search the internet for videos on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE7_99_TEXT,Search the internet for videos on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE8,Search the internet for images or photos on any device. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SHARE8_99_TEXT,Search the internet for images or photos on any device. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME1,"Play games on a computer, video game console, or smartphone BY YOURSELF. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME1_99_TEXT,"Play games on a computer, video game console, or smartphone BY YOURSELF. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME2,"Play games on a computer, video game console, or smartphone WITH OTHER PEOPLE IN THE SAME ROOM. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME2_99_TEXT,"Play games on a computer, video game console, or smartphone WITH OTHER PEOPLE IN THE SAME ROOM. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME3,"Play games on a computer, video game console or smartphone WITH OTHER PEOPLE ONLINE. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.GAME3_99_TEXT,"Play games on a computer, video game console or smartphone WITH OTHER PEOPLE ONLINE. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL1,Check your social network account(s). - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL1_99_TEXT,Check your social network account(s). - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL2,Check your social media accounts from your smartphone. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL2_99_TEXT,Check your social media accounts from your smartphone. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL3,Check your social media at work or school. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL3_99_TEXT,Check your social media at work or school. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL4,Post photos/videos. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL4_99_TEXT,Post photos/videos. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL5,"Post status updates (i.e., typed out). - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL5_99_TEXT,"Post status updates (i.e., typed out). - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL6,Browse profiles and photos. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL6_99_TEXT,Browse profiles and photos. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL7,Read postings. - Selected Choice,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL7_99_TEXT,Read postings. - Other - Text,"DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL8,"Comment on postings, status updates, photos, etc. - Selected Choice","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
MTUS.SOCIAL8_99_TEXT,"Comment on postings, status updates, photos, etc. - Other - Text","DRM_Day 6_Packet A4_Cornell_250308_July 4, 2025_00.34.csv"
